number_of_air_conditioners,ac_power_hp,number_of_refrigerators,number_of_televisions,number_of_fans,number_of_computers,average_daily_usage_hours,season,house_size_m2,insulation_quality,has_water_heater,washing_machine_usage_per_week,monthly_energy_consumption_kwh,monthly_electricity_bill_egp
3,2.25,1,0,2,1,3.053594919899625,winter,150.8324115209105,high,0,1,1300.6955136718575,1556.1401368733532
3,1.5,1,1,3,2,5.185368735326378,winter,192.40217024839131,low,1,3,1902.0322403679681,2286.29888242703
2,2.25,1,1,0,2,7.093737262625483,winter,93.45062886562553,high,0,2,1580.38259847613,1891.070556549547
4,1.5,1,3,1,0,4.7414273633823125,summer,203.80476513440408,medium,1,6,2300.8371042272734,2767.1871352604194
4,3.0,2,1,1,0,7.030318995352731,winter,196.68190168656315,medium,1,6,4025.1905377673984,4838.366414670107
4,3.0,1,1,2,1,3.394517123953831,winter,223.46151726174207,high,1,4,1819.6368760608707,2180.6443205833743
0,3.0,2,2,4,0,9.79345328193622,summer,50.0,high,0,3,1881.9049015235428,2256.4501980299815
2,2.25,2,2,2,2,5.43154828056508,winter,138.53367856285917,medium,0,3,2446.101439311084,2928.333750400158
2,2.25,1,1,3,1,9.813169409209372,summer,93.31522723862724,medium,1,0,3213.1417526335076,3855.0820526714015
4,2.25,2,3,0,2,6.742230730645792,summer,213.83765396977915,medium,1,2,4868.940165506247,5836.027141101661
3,1.5,2,1,3,2,6.263920328013135,summer,174.9006372676797,medium,1,4,3318.375628502351,3983.574713987307
0,1.5,1,2,4,2,3.627227527713964,winter,50.0,low,0,5,968.5846597394545,1166.9895097266121
3,3.0,2,0,1,2,3.593382701990896,summer,192.88423060006443,low,1,4,3872.360739654168,4639.938382143741
1,2.25,1,3,4,2,6.595807212742678,winter,73.35289929302068,low,1,2,1789.5701051371866,2144.2663598020995
2,2.25,1,3,3,1,5.228701118011339,summer,137.75541977282336,low,1,4,2589.405138095064,3109.592251967336
2,2.25,2,1,1,2,4.30360232743894,winter,132.01662051356584,low,1,0,2617.7205858352063,3147.298753670802
3,3.0,1,0,0,2,3.947467828517037,winter,201.04903537974076,medium,0,1,1768.776109699778,2120.3505245752162
0,1.5,2,3,2,2,6.910614097069841,summer,50.0,low,1,2,2203.510079331109,2660.876473621951
2,2.25,2,3,0,2,5.108709036270588,winter,161.67887620530885,medium,0,2,2417.407303810946,2902.917148145922
3,1.5,1,2,2,0,8.64118197736843,winter,194.53147687398237,medium,1,4,2091.354182474777,2509.560711079417
0,2.25,1,1,0,1,3.629274768944295,summer,57.69933083784826,low,1,0,1124.569459474717,1346.2493378464908
3,3.0,1,1,1,1,3.057045851988293,summer,171.1480993819821,low,0,4,2506.7540774394606,3011.338066537437
0,2.25,1,3,1,0,9.59386466890179,winter,50.0,high,1,1,1204.4596353716236,1452.396217894173
4,3.0,1,0,1,2,3.120802140479813,winter,203.82604760061872,high,0,4,1642.1246309824232,1970.216573904778
0,2.25,1,0,2,1,9.019662511924203,summer,50.0,medium,1,0,1186.8671716596493,1429.3721830352831
1,3.0,1,0,1,2,9.162566285590323,winter,65.77312242184966,medium,0,3,1657.5177654352094,1990.2969772408653
4,3.0,1,0,4,0,9.627776671353054,summer,223.87813980319748,low,1,2,7948.9048144551625,9537.25488591213
3,1.5,1,1,2,1,6.4635190446242925,summer,189.26617550884842,high,0,1,2015.7142735565158,2421.419134913538
4,1.5,1,2,1,1,7.366331624223361,winter,240.26285696722528,medium,0,0,2026.175536588455,2442.4836743065575
4,1.5,2,0,1,2,5.56392172179993,winter,207.72544306725925,medium,1,1,2729.8067911423964,3279.3257096856505
3,3.0,2,0,0,0,9.802226302925318,summer,187.03742477304837,high,0,5,4928.063615425759,5914.5632531953825
3,1.5,1,2,4,1,8.12276137197193,summer,134.36674657563404,medium,1,2,2893.0807732309104,3473.8131099838624
1,3.0,1,1,4,2,8.04418895140618,summer,87.7013733207782,high,0,6,1942.1154618747075,2328.358229996374
3,2.25,1,2,2,2,5.473971398936252,winter,165.3139441948211,high,0,6,1700.3501960791543,2038.7707135233832
2,3.0,1,2,4,2,5.108196444650448,summer,136.03893298865248,low,0,4,2816.397868410914,3388.987525898155
2,1.5,1,0,1,2,6.90160332025498,winter,111.59238333721946,medium,0,6,1485.1090063320241,1780.5676045581572
1,1.5,2,2,2,0,3.5691444934954872,winter,80.83419860330301,low,1,5,2123.0357906095974,2550.674417437886
0,3.0,1,2,3,1,5.932550938729971,winter,50.0,low,0,6,976.9481124365042,1167.5764261441836
0,1.5,1,1,0,2,6.723935508844336,summer,68.14570132956781,low,1,0,1098.0213516463484,1307.4026030724992
2,1.5,2,0,0,0,8.25137020290444,winter,127.89168057944926,high,0,3,2202.018588043781,2635.918617842846
3,3.0,1,0,3,1,7.001572645196403,winter,170.7877242774577,medium,1,6,2591.257055557025,3107.2044559706833
1,1.5,1,3,2,1,5.730083451122276,summer,74.0878131122623,high,1,4,1510.3638360541493,1811.7507410162268
0,1.5,2,0,3,2,3.1955946917012477,winter,67.50958894626234,medium,0,5,1804.6259136378721,2169.373471295269
0,3.0,1,1,4,1,7.958897195864195,winter,59.51133131304868,high,0,4,1011.0203752360404,1212.1001450529943
4,1.5,1,1,1,2,8.374834547491481,winter,210.66388090040772,low,0,0,2579.2460929076915,3094.8034746720955
2,3.0,2,1,3,0,8.979523126241876,winter,112.7240728019364,medium,0,2,3111.0796357990052,3731.3318248008964
3,1.5,1,3,3,1,4.386946898581181,winter,172.7864581471922,high,0,1,1332.0516023995997,1592.3454926373038
1,1.5,2,3,4,2,6.533945421538293,summer,102.09408180528179,low,0,1,2511.1368986892767,3014.538582163874
0,2.25,1,1,2,0,6.222814390099805,summer,76.82186176725506,low,1,1,1036.0657052293695,1240.2890195461146
4,1.5,2,0,1,2,8.325621878006686,summer,226.03368891033548,medium,0,6,4087.790866996158,4895.226460315607
2,1.5,2,3,1,1,6.520872391699507,summer,120.68155476062208,low,1,0,3246.9080906894437,3888.740527981127
2,3.0,1,0,0,0,8.584893790327547,summer,91.1326770672758,low,1,1,4049.666637468947,4861.74189577572
1,1.5,2,3,1,1,3.580235311723127,winter,101.93562549567554,medium,0,6,1919.89359685014,2299.5898195243935
0,1.5,2,2,1,1,3.3757350317901125,summer,50.0,low,0,1,1775.9572057395667,2140.201785010281
1,2.25,1,1,1,2,4.866845522594491,summer,87.5764073456968,high,1,4,1438.2797296974875,1729.307164425667
1,2.25,2,2,1,2,6.320147699645817,summer,94.88932287531921,high,0,6,2372.9910742192724,2839.9001294085797
4,1.5,2,1,4,0,8.258663362135085,summer,204.81008869462266,low,1,6,4994.956507084922,5998.777838143214
2,1.5,1,2,0,2,5.55856948841468,winter,136.18815664761576,high,1,3,1477.2278012706258,1764.2264518360405
3,2.25,2,0,3,0,8.18784916768833,summer,135.05921267687336,high,1,5,3934.5972222301534,4725.236471883346
2,1.5,1,0,0,1,8.819736112479262,summer,129.8549036780715,medium,1,6,2361.954915971814,2836.929358624394
2,3.0,2,1,2,1,6.517949377624207,summer,160.31648534956213,low,1,4,4286.704088393964,5140.474931187628
4,1.5,2,0,3,1,9.7065942146907,summer,202.70038211269176,low,1,6,5454.738925296571,6547.33068552031
3,1.5,2,1,0,1,4.065664168312446,winter,186.69329656616515,medium,1,5,2439.6258124781784,2932.241315169109
0,2.25,2,2,0,0,5.069538665853875,summer,50.0,low,1,0,1875.615070432276,2247.5719297647947
3,1.5,1,1,0,0,9.982920634562081,summer,159.58542812419313,low,1,0,3650.7277820275845,4384.340790426732
0,3.0,2,3,0,1,4.16733999108855,winter,50.0,medium,1,5,2051.177544648064,2467.889452184909
3,3.0,1,2,0,2,9.37922092390767,summer,140.68409075821606,medium,0,3,4841.359696979285,5812.81342525681
1,2.25,1,2,0,1,9.441511901081967,summer,96.6402732101165,medium,1,0,2030.3814296860105,2434.838720668306
3,2.25,2,1,4,0,7.475939399448512,winter,166.30907245402307,medium,1,0,3261.5998146105494,3918.766049380377
4,1.5,1,3,4,2,3.3427847002517086,summer,188.43943478244077,medium,1,3,1960.3281065586268,2351.9582725223368
0,1.5,2,3,3,1,6.565526836623527,winter,50.0,high,1,1,2139.5396658331338,2569.8644516954873
2,3.0,1,0,1,1,3.484539896861151,winter,94.74368425735186,medium,1,6,1635.8280687890738,1959.535211558538
4,3.0,2,2,0,0,5.3207323845187116,summer,216.58225453921008,high,1,2,4164.366313865149,4998.27123044135
0,1.5,1,0,1,0,3.1210850478006433,summer,50.0,high,1,3,1130.146800027371,1350.8238481435567
0,3.0,1,2,4,0,3.3210146357094903,winter,50.0,medium,1,2,1076.3958898325186,1290.2612163446295
2,2.25,2,2,2,0,7.880436260587291,winter,141.11111064076727,high,1,2,2664.3063602217135,3209.903938307798
1,3.0,2,2,0,2,9.875724168861405,summer,109.75506472417834,medium,0,3,3255.8430262837296,3898.2398204348497
4,2.25,1,2,3,2,8.478020728064436,summer,234.11744579448236,low,1,1,5716.336315288503,6856.798201303044
2,1.5,1,1,1,0,5.77214230110811,summer,140.1734138239865,medium,1,5,1890.581749319331,2269.4740890352514
2,3.0,1,3,3,2,5.361589225104314,winter,121.46854821253004,medium,1,1,1900.3226071297215,2277.610482868449
1,2.25,1,2,0,1,9.957227639211766,summer,64.98230759312885,low,0,6,2298.708629200394,2757.2642204226836
4,1.5,1,0,1,2,4.622278532379139,summer,238.83486091005665,medium,0,0,2176.7944917007844,2613.091429268758
2,2.25,1,0,1,1,3.2707097653771227,winter,148.05506558605904,low,1,3,1570.7896470921476,1882.8129414657146
1,1.5,2,1,0,0,4.828311125892412,winter,72.15352194876618,high,1,3,2090.9850564652297,2508.1587099493854
4,3.0,2,3,2,1,5.391740327096751,summer,232.6945245776621,high,0,0,4159.979034528998,4990.101531712357
3,3.0,2,2,0,0,6.416015384657495,summer,182.97657830474918,low,0,6,5154.480746109871,6186.650415241293
0,2.25,1,1,3,0,7.884867880450385,summer,50.0,medium,0,1,936.3867811135681,1132.1497567059644
1,3.0,1,0,4,0,7.592494035380717,winter,69.42944672953857,medium,0,1,1480.2370877800772,1773.7191942878594
0,1.5,2,3,4,2,7.3999343252850664,winter,80.42525143374736,medium,1,6,2073.292520662213,2490.485110031644
3,3.0,2,2,4,1,9.216767117597428,winter,157.45680065680898,low,1,2,4781.089654512955,5737.6732581271
2,1.5,2,3,1,2,7.064357967600747,summer,146.9019804558543,low,0,4,3133.168038563014,3757.1536292212963
2,3.0,2,0,1,0,4.231405681012696,summer,137.2975572488076,low,1,2,3344.9330720006215,4012.822249547226
4,3.0,2,1,0,2,5.526789046417465,summer,169.18524801024446,low,0,5,5694.364034011601,6831.007724556943
1,3.0,2,1,1,0,7.706690833539893,winter,94.400479500729,low,0,1,2487.576587073293,2982.316919160688
1,3.0,2,0,3,1,6.676712952046562,summer,89.92540581391056,high,0,0,2515.21509423428,3015.917540473464
4,2.25,2,2,0,0,7.051981865605152,summer,235.19878154819457,low,1,6,5756.267486589781,6906.266668635351
0,2.25,1,2,3,0,5.088095425809955,summer,66.723693725276,high,0,1,916.4776378018875,1098.5417345508981
2,2.25,2,3,4,2,5.017385663888149,summer,130.81964006287677,high,1,2,2903.4714026914944,3482.544553829523
2,1.5,2,0,3,0,6.152485065560268,summer,155.78038494462567,high,0,3,2437.261488768139,2934.0048646764394
1,1.5,2,0,4,1,3.2372249804634348,summer,79.36801993201892,high,0,3,1945.015482039973,2331.0081401175985
1,2.25,1,2,1,1,6.029026190775199,winter,90.19535254443386,low,1,3,1609.3904129137075,1938.1162466215765
4,2.25,2,0,0,0,6.436684613860745,winter,215.3287481001123,high,0,6,2851.8037677600273,3431.5614103714597
3,2.25,1,1,2,1,3.421572963903639,winter,140.95015594572345,high,1,5,1498.7166058873013,1808.790079753589
0,3.0,1,2,3,0,3.229435203808575,winter,50.0,high,1,6,1098.5761545625182,1313.4433264965578
3,2.25,1,2,0,0,3.063333577512457,summer,144.60631486195396,low,1,3,2299.9686608373368,2759.352172207748
3,2.25,1,1,2,1,5.532424223873831,summer,160.4408066563073,medium,0,4,2598.8376893912487,3125.615511985488
1,2.25,1,0,0,2,6.487919880367615,winter,50.0,medium,0,6,1320.5994044741747,1580.469303250285
1,2.25,2,2,2,0,4.209566752105934,summer,58.40769174886451,high,1,0,2371.1981054317475,2846.316994748507
1,1.5,2,2,0,2,9.269279058060885,winter,117.59449004240432,medium,1,5,2417.913054127557,2906.3781401877263
3,1.5,1,2,4,2,7.083038532679815,winter,194.52412926672662,high,1,5,1790.052548767488,2148.90129371112
0,1.5,1,0,2,0,7.182962906044274,summer,50.0,high,1,0,1152.6250193504018,1375.8330144038491
1,3.0,1,2,0,1,3.460422126006255,winter,94.27008147690388,low,0,6,1232.8471437957705,1473.2099748080873
2,1.5,1,0,2,0,3.562374055438949,summer,108.61949316447694,medium,0,1,1359.4884252653198,1636.788607111123
0,1.5,1,3,4,1,6.532980662009891,summer,50.0,medium,1,1,1224.0836229571992,1466.559941235529
2,2.25,2,1,2,0,8.337620573773808,winter,149.60979845106874,high,0,6,2509.918626091828,3009.2559085782755
0,3.0,1,0,2,2,8.870710902107643,summer,60.405696693904616,medium,1,0,1267.7666178963884,1528.070848404455
1,2.25,1,0,0,0,6.787546231932453,winter,75.3635544286136,low,1,3,1568.0892037674903,1882.3353382893188
4,3.0,1,1,3,1,7.124292842467858,winter,190.67465370677564,low,1,4,3899.578194621457,4677.798129421922
1,2.25,2,0,4,1,7.300955616626839,winter,93.46796785637574,medium,0,6,2254.2416930044237,2705.0339800770566
3,1.5,2,1,0,0,5.1728645566150995,winter,171.4372180266029,low,0,6,2499.29150247619,3001.269540238612
3,3.0,2,3,1,1,9.82783191941547,winter,183.6661131040546,medium,0,4,4034.7280861082613,4839.143634257011
0,1.5,1,2,2,0,9.830635277347138,winter,50.0,high,1,4,1213.6777090780263,1456.7030050285919
3,2.25,1,1,1,2,7.373686271469967,summer,154.8053436777749,medium,1,6,3452.6557423976537,4144.218041052254
1,2.25,2,1,0,0,5.651630244770063,summer,74.31008664484096,low,1,2,2616.628065596893,3139.7289652072946
2,1.5,2,2,3,0,8.947096288496201,summer,174.30105949975788,medium,1,3,3198.7451325540555,3842.4934943721755
1,3.0,2,2,4,1,4.227338106450028,winter,82.61952587157236,low,1,6,2353.2224050217437,2819.5878671395326
0,2.25,1,0,0,0,7.224967383654772,summer,53.870360920924725,high,1,1,1102.9023513678546,1327.4088217459525
3,1.5,1,0,3,2,8.524140429206579,summer,135.8233141088736,medium,0,6,2756.1632287054404,3310.605075108449
2,1.5,2,0,0,2,3.0285979664347438,summer,118.82786950343886,high,0,4,2085.5711789490506,2507.78769942839
4,2.25,2,2,3,0,6.022286457234338,winter,201.95666874680745,high,1,6,3120.500456765499,3741.4871919763755
2,1.5,1,2,1,1,4.833623849791901,winter,166.64943723780158,medium,1,3,1544.545965083813,1858.17899581671
2,2.25,2,2,3,2,8.587895341187332,winter,154.9498645428593,medium,0,4,2895.709029476027,3466.011579874937
1,1.5,1,0,4,0,9.465152468316687,summer,61.01967815462167,medium,0,2,1572.8729089795513,1892.1715023679933
4,1.5,2,2,1,0,4.21272968784945,winter,223.85318354563375,high,0,0,2252.6864649177405,2702.479918431505
0,1.5,1,2,2,2,4.2579351477244245,winter,50.0,low,1,5,1239.347079480254,1489.7297908259227
0,1.5,1,3,1,1,9.733192612545757,summer,50.0,medium,0,3,1040.1200858864759,1252.2699969469813
2,2.25,2,1,1,0,6.583804239128366,winter,103.2575854433063,high,0,0,2318.5625674927455,2777.748292470869
2,3.0,1,1,2,2,3.684645702347453,summer,127.38465576360494,medium,1,0,2207.8057789479503,2653.3378432559234
3,2.25,1,2,1,0,3.5323549404434456,summer,164.6338789442101,high,1,0,1913.19677101215,2296.6720876709583
4,2.25,2,0,1,2,9.750145709141727,summer,171.11288025758384,low,0,5,7011.570340923456,8411.933364371993
2,1.5,1,3,2,0,6.0237796821477625,winter,142.81676859393878,high,1,2,1528.6611748130306,1839.1187122959589
3,3.0,2,3,2,1,9.595092402640267,summer,185.68454776570672,medium,1,6,6077.504486317724,7288.541640938868
4,1.5,1,1,4,1,7.038132654896853,summer,201.15817657090264,low,1,6,3696.2929812243215,4440.451088427251
0,2.25,2,3,1,2,8.05525795975901,summer,61.13984342968649,medium,1,4,2169.687488232815,2601.1883873112142
3,2.25,1,3,1,0,4.953285646724602,summer,189.49819470849292,medium,1,5,2548.530501819605,3057.263435448649
4,2.25,1,3,1,1,3.47267018216394,winter,191.2863578539595,low,1,2,2127.5288960592256,2555.244214793229
3,3.0,2,2,4,2,8.50315440768981,winter,138.33153332267628,medium,0,4,3806.108738416115,4561.7448886515485
2,1.5,2,1,1,1,4.177852463523194,summer,137.714846060107,low,1,6,2768.357841689191,3329.5292508124357
1,3.0,1,1,2,1,8.014382367474404,summer,98.60516521555536,low,0,3,2387.100398910332,2869.6540679139284
0,1.5,2,0,2,0,3.528836687585665,summer,82.03408463216667,high,1,4,1903.7347891192323,2281.506177212787
2,2.25,2,2,2,0,7.027246921941898,winter,127.07629660964217,low,0,0,2788.829415283672,3337.488442414062
2,1.5,1,3,2,1,8.272167775818044,summer,138.90157074694406,medium,0,4,2140.8708070494986,2575.4858280660656
4,2.25,2,2,3,1,3.1340704293610786,winter,200.40491853270927,high,1,2,2523.6647373837664,3021.5502275951503
3,1.5,1,3,2,1,5.718818890390445,summer,152.79612919513767,high,1,3,2111.2030608274326,2539.656903713542
0,1.5,2,3,4,1,7.118723010415661,summer,68.17465016696212,medium,0,5,1914.829750154358,2287.589877620874
2,3.0,1,0,3,2,8.588086961087555,summer,144.98663244211758,low,1,2,4164.4639391154005,4991.9487961869145
4,3.0,2,0,1,2,4.806234446835329,winter,181.93344916134728,high,1,6,3176.669819604833,3809.5813130568595
0,3.0,1,0,2,1,8.713599309244996,summer,52.09956671730663,low,1,2,1140.0558032621936,1366.9123527824972
3,3.0,1,3,1,0,7.535375243296079,summer,158.5968626762341,medium,1,2,4275.616278778664,5128.458043373669
2,2.25,2,3,2,0,5.4273190168355745,summer,144.06826536545742,medium,1,1,3169.3554804219298,3805.212877477092
2,2.25,2,2,2,2,5.09689472006495,summer,125.72104215763049,low,0,6,3207.4040715237784,3853.046684435204
2,3.0,1,1,3,1,7.914120582534965,winter,129.27531354204638,low,0,0,2489.423686558857,2989.0728684549
0,3.0,2,3,2,0,8.06853032492085,summer,66.55289651400366,high,0,0,1838.7947539111406,2204.481159008335
0,3.0,1,2,2,1,7.459374824820144,winter,60.63718010740081,low,0,4,988.2250400889651,1186.2827781146957
0,3.0,1,2,0,2,6.108883731351814,summer,50.0,high,1,2,1169.147650487423,1405.3439160912048
0,2.25,2,3,4,2,3.154318115682347,summer,50.910810735215556,medium,0,1,1827.3486310462456,2194.984890542394
4,1.5,2,3,4,0,7.018048884553769,winter,212.2281337780143,low,1,4,3291.391923313331,3944.9201302858996
1,2.25,2,0,1,1,7.285318786067518,summer,71.83090740922017,low,1,6,2946.7004378966576,3539.494804769527
4,2.25,1,0,1,2,4.681616053434812,winter,217.50517269715914,medium,1,5,2057.747478283202,2478.0055301448638
2,3.0,2,0,3,0,4.422484205011631,summer,140.8185308924829,low,0,2,3318.9087056589697,3982.1363188925206
4,1.5,2,2,1,1,9.049992472741168,summer,180.75321809639078,high,0,5,3847.806855182451,4620.415128757438
3,2.25,2,0,0,1,4.258973551863889,summer,157.33154426673113,high,1,6,3025.6452741350563,3633.031786156739
0,3.0,1,3,1,2,4.46850039727346,summer,55.00780181837549,low,0,5,981.1179391089423,1172.9617627737205
3,2.25,2,0,2,0,7.359886855190176,winter,177.08483557413695,medium,1,5,3160.8773225410064,3797.3711412979665
3,1.5,2,3,1,1,5.233848398896494,winter,166.36761643381124,medium,0,1,2394.2833402978063,2868.278962346258
2,2.25,1,3,1,0,6.0880045799483975,winter,148.2823713122862,medium,1,6,1760.2290940703977,2111.341060640835
0,3.0,2,1,2,1,6.710676706200066,summer,51.427297766583216,low,0,5,1825.722211157859,2188.75232034024
3,3.0,1,1,0,1,9.517120739939884,winter,167.77226046888492,medium,1,6,3247.806760490887,3900.2378973451055
2,1.5,2,0,4,1,4.82384855704491,winter,143.08753366911338,high,1,0,2201.733153113199,2642.273167389664
0,3.0,1,3,0,0,3.3116295044759863,summer,89.1206556531861,low,0,1,882.6090085863134,1066.76981944776
1,1.5,1,1,0,2,3.810941832120603,winter,94.01353233647636,low,0,6,1117.0655756170001,1338.936320872369
2,1.5,1,2,3,1,3.361308598956941,summer,131.11600581836188,medium,1,3,1543.9557959969834,1852.9290555396606
4,3.0,2,1,3,2,8.278971886282925,winter,196.87372904483536,high,1,5,4037.7842050067884,4844.412324161983
0,3.0,2,0,2,1,9.86648962755215,winter,50.0,high,1,5,2028.188438544131,2432.7290505640954
3,2.25,1,2,3,2,3.561524434876324,summer,139.57992176379793,low,0,6,2376.056717832621,2852.5733778410304
3,2.25,2,2,4,0,4.991760446578541,winter,169.4351902274656,medium,0,4,2622.1124845200643,3145.444049600965
4,2.25,2,3,2,1,8.976472645325863,summer,199.30812769638996,medium,0,4,5548.89991749559,6656.8605163375705
4,2.25,2,3,3,1,9.282390510082106,summer,203.76256330362258,low,0,0,6830.346783060656,8188.24390295475
3,1.5,1,3,1,2,4.513991828445754,winter,182.96523424504625,low,0,1,1590.4863263400755,1904.6796329316655
0,3.0,2,3,3,2,9.432544058273693,summer,54.62921891054272,high,1,6,2247.0770787585725,2682.0363106348336
2,1.5,1,1,4,2,7.045277192246716,winter,153.9325842896784,medium,0,0,1546.9740984521927,1844.272214252868
4,1.5,1,0,3,0,9.96526186297077,summer,235.68350538318916,medium,0,1,3605.2209930225995,4324.30454737394
4,3.0,2,0,2,1,3.1573603275626936,summer,205.87863835631967,medium,0,1,3471.89879194221,4168.397182375835
4,2.25,2,3,1,0,8.501647198100752,winter,224.3824371664312,low,0,2,4209.511160424538,5051.775498750087
1,2.25,1,1,2,0,3.387001740761431,winter,96.34323675147017,low,1,3,1347.0866785894195,1611.4273924211318
0,1.5,2,1,1,2,8.14100451524141,summer,62.37813422035204,high,1,0,1996.703005391201,2403.079628811707
0,1.5,2,1,1,2,9.60783217542625,summer,54.63179815544459,low,0,3,1904.9852818319414,2293.921034539978
0,2.25,1,0,4,1,5.287333208098701,summer,50.0,medium,0,4,948.2303785274479,1136.2095139443436
0,2.25,2,3,0,1,5.3721745621572055,summer,55.48232310573585,high,0,2,1814.5044894695297,2172.2462424315772
0,1.5,1,1,4,1,4.675128274504973,winter,50.0,low,1,0,1064.4148467604898,1286.9402529127653
3,1.5,1,1,0,2,6.01906647725397,summer,202.92001916480365,medium,0,2,2185.5207102272484,2616.287377039037
4,3.0,2,3,0,2,6.309656645319821,winter,226.2556641443599,medium,0,3,3685.3623534585413,4422.980389838662
3,1.5,1,1,4,0,7.003058036885619,winter,229.28620995805136,high,0,2,1546.9577450195025,1845.7467668741842
1,2.25,2,0,3,1,7.8189291863975185,winter,86.86132100181042,high,0,2,2178.397241727229,2619.560075179661
2,2.25,2,2,4,0,7.3246383681878156,summer,149.13184940865852,low,0,2,3775.042142326063,4523.200768549672
4,3.0,2,0,2,1,3.69250060385442,summer,248.11644653769065,high,1,5,3464.6837023644407,4160.036539987869
1,3.0,1,3,2,1,7.425009074939615,winter,95.32391175049106,low,0,3,1716.3342557112317,2071.41620094684
3,2.25,1,3,2,1,4.348953713746166,summer,171.241815792541,high,0,1,2009.1708061392355,2417.1299836643134
2,3.0,1,0,2,0,6.743218181471262,summer,123.46750773086049,medium,1,2,2872.762754057308,3444.625726824431
1,1.5,2,2,0,0,7.112813014108193,summer,73.24823924845589,low,0,4,2426.102451868395,2909.283582934389
2,3.0,2,3,0,0,6.053866303761886,winter,148.3525027861183,low,0,3,2907.149447471124,3485.169176293811
1,1.5,1,3,4,2,5.924178278094007,summer,100.59803131056212,medium,0,1,1439.5666735905952,1721.4293526247286
3,2.25,2,0,1,2,5.977135190868281,summer,191.70872919987858,medium,1,5,3882.6776550564673,4655.550145235939
2,2.25,2,2,1,0,4.644441043933963,summer,152.85100507056234,medium,1,0,2966.8677780560583,3556.333350368665
1,3.0,1,2,0,2,8.622241630413466,summer,61.04642315037045,low,1,1,2636.3020917989797,3156.4096345380804
3,3.0,1,2,3,2,6.400035775939827,winter,173.77356310597602,medium,1,1,2630.7492993614246,3151.33911768382
4,3.0,1,3,0,0,6.536179156634131,summer,214.19904909958626,medium,1,2,4696.871877820398,5635.374571755735
3,2.25,2,2,3,1,4.292353494218906,winter,180.4909723637436,high,0,3,2373.634990410927,2850.3248860713184
3,2.25,2,0,1,2,6.328629004602897,summer,150.84216412519322,medium,0,5,3739.643656670667,4491.15843972057
4,2.25,2,3,0,0,6.060732741747907,summer,219.34042402319503,low,1,5,5157.679226309753,6187.149607389452
3,1.5,1,2,4,1,5.898172791341405,summer,163.98302286877873,low,1,3,2725.137211502688,3267.9500691956914
4,1.5,1,1,2,2,6.122948322042386,winter,198.41872116894035,low,0,5,2130.2471724013353,2560.3666900850258
4,3.0,1,2,1,0,4.7224398865003945,summer,197.9038559801808,low,1,1,4359.129189424137,5231.861601271624
4,2.25,1,2,0,1,8.564362715815324,summer,188.85433870899834,high,1,2,3875.4823888318383,4651.985721353663
1,2.25,2,3,0,2,4.3666935183541975,summer,102.66465473968009,medium,1,4,2539.8979642669674,3049.138423094536
2,3.0,1,0,2,0,6.775131828257946,winter,79.83466572862065,low,0,6,2180.961341676805,2614.2063172545545
1,1.5,2,1,1,0,5.257124298483207,winter,102.01480350620719,high,0,4,1913.7282508988199,2295.3608539636316
4,2.25,1,3,4,2,8.03294062152316,summer,210.2398805971303,low,1,6,5546.9109707157695,6659.243386154927
2,1.5,2,2,4,0,7.8383349262380655,winter,123.73552619371769,high,0,3,2316.6056378429703,2780.4426154764205
2,2.25,1,3,4,1,7.888215275625672,winter,147.31186021643973,medium,0,3,1924.424258631463,2305.789236679281
4,2.25,2,3,1,0,9.197338391330495,summer,196.12478614004192,high,0,2,4818.690861662046,5782.616041221869
2,3.0,2,1,4,2,8.46538275308317,winter,117.10453803268317,medium,0,5,3160.964497950466,3799.524372272485
2,1.5,1,2,3,1,5.307467747777568,summer,108.62372713044992,high,1,3,1629.0851988451757,1952.3473367260515
1,3.0,2,3,0,0,5.75526542674654,summer,63.778028623602324,high,1,4,2542.26066817135,3044.7413295107394
2,2.25,1,0,3,0,9.071711938727809,winter,129.25125095961423,high,0,6,1694.2939291621358,2030.5893876228247
4,1.5,2,1,1,1,8.76607725830328,summer,250.12005848956886,medium,1,5,4427.2901504501315,5315.164104979578
0,2.25,1,3,4,1,9.448735195459992,summer,50.0,high,1,6,1323.1356223704884,1581.5581507405486
0,3.0,1,1,4,2,8.870440831513974,winter,56.41501174180254,medium,0,0,1092.7208311327784,1313.4528374774181
0,3.0,1,3,4,0,3.9053418536244364,winter,50.0,low,1,0,1076.7189722275675,1294.484391878669
4,3.0,2,3,2,1,5.311743713342162,winter,210.73514811491495,high,1,6,3296.3253648391637,3949.794952669562
0,1.5,2,3,2,0,5.047841103599823,summer,54.330378458240595,medium,0,6,1807.2818111552,2163.1169922787817
1,1.5,1,0,4,0,5.652883061735329,summer,104.62718195887885,high,0,4,1223.661585594552,1457.1619726676304
4,2.25,2,0,0,0,5.046373278757294,summer,185.50112254675847,medium,0,1,3773.0152230838385,4525.74914485384
4,2.25,1,0,2,2,8.493943454674646,winter,229.56093384355793,low,0,5,3408.013574487635,4096.034018290963
4,3.0,2,3,1,0,7.905633989606644,winter,185.0256296517887,low,1,5,4975.7115418610765,5975.759722511976
2,3.0,1,0,4,2,4.391799116263195,winter,177.699702156939,medium,1,3,1765.2020496068499,2119.2357920698737
2,1.5,1,1,0,0,4.258797035111504,winter,128.21456756728304,medium,0,0,1177.0246338514223,1420.4176310357689
